作者,作品,类型,风格,进度,字数,作品积分,发表时间,作品url
竹已,偷偷藏不住,原创-言情-近代现代-爱情,轻松,完结,372127,15181538304,2018-07-24 23:08:19,http://www.jjwxc.net/onebook.php?novelid=3676002
竹已,难哄,原创-言情-近代现代-爱情,轻松,完结,389894,14333473792,2019-01-21 00:29:54,http://www.jjwxc.net/onebook.php?novelid=4001734
栖见,白日梦我,原创-言情-近代现代-爱情,正剧,完结,427269,8440096768,2018-03-16 13:21:32,http://www.jjwxc.net/onebook.php?novelid=3525826
春刀寒,老婆粉了解一下[娱乐圈],原创-言情-近代现代-爱情,轻松,完结,569992,9806172160,2018-12-10 20:54:15,http://www.jjwxc.net/onebook.php?novelid=3953941
唧唧的猫,她的小梨涡,原创-言情-近代现代-爱情,轻松,完结,257143,8052320256,2017-01-28 13:50:25,http://www.jjwxc.net/onebook.php?novelid=3070243
曲小蛐,吻痣,原创-言情-近代现代-爱情,轻松,完结,425246,6222982656,2018-07-02 14:00:09,http://www.jjwxc.net/onebook.php?novelid=3640502
春刀寒,满级绿茶穿成小可怜,原创-言情-架空历史-爱情,轻松,完结,425527,8987290624,2019-10-29 20:07:00,http://www.jjwxc.net/onebook.php?novelid=4403740
priest,有匪,原创-言情-架空历史-武侠,正剧,完结,698356,6369408000,2015-10-26 22:20:28,http://www.jjwxc.net/onebook.php?novelid=2595385
曲小蛐,他最野了,原创-言情-近代现代-爱情,正剧,完结,485236,5260889600,2018-05-26 00:49:34,http://www.jjwxc.net/onebook.php?novelid=3597941
红刺北,砸锅卖铁去上学,原创-言情-幻想未来-爱情,轻松,完结,1134757,10651708416,2020-04-10 19:29:11,http://www.jjwxc.net/onebook.php?novelid=4737103
耳东兔子,暗格里的秘密,原创-言情-近代现代-爱情,正剧,完结,329191,5943374336,2016-02-28 23:39:05,http://www.jjwxc.net/onebook.php?novelid=2697774
唧唧的猫,等风热吻你,原创-言情-近代现代-爱情,轻松,完结,181853,5030953472,2017-04-27 13:23:28,http://www.jjwxc.net/onebook.php?novelid=3173198
翘摇,错撩,原创-言情-近代现代-爱情,轻松,完结,308961,5880894976,2019-10-26 02:33:23,http://www.jjwxc.net/onebook.php?novelid=4399698
扶华,女主都和男二HE,原创-言情-架空历史-奇幻,正剧,完结,678489,4750351872,2018-10-10 15:39:20,http://www.jjwxc.net/onebook.php?novelid=3892755
图样先森,顶流夫妇有点甜,原创-言情-近代现代-爱情,轻松,完结,477763,6668606976,2020-06-16 15:59:57,http://www.jjwxc.net/onebook.php?novelid=4912351
青花燃,穿成短命白月光后，和反派HE了,原创-言情-架空历史-奇幻,轻松,完结,646746,5010881024,2019-07-18 11:24:53,http://www.jjwxc.net/onebook.php?novelid=4264815
纪婴,不断作死后我成了白月光,原创-言情-架空历史-仙侠,轻松,完结,780000,6191988224,2020-03-25 15:37:09,http://www.jjwxc.net/onebook.php?novelid=4682400
栖见,可爱多少钱一斤,原创-言情-近代现代-爱情,正剧,完结,336134,3369366016,2013-04-04 10:55:04,http://www.jjwxc.net/onebook.php?novelid=1768376
墨书白,长风渡,原创-言情-架空历史-爱情,正剧,完结,978111,4324096512,2017-11-28 17:34:14,http://www.jjwxc.net/onebook.php?novelid=3415053
春刀寒,娱乐圈是我的[重生],原创-言情-近代现代-爱情,轻松,完结,628822,6188613632,2019-05-30 18:31:59,http://www.jjwxc.net/onebook.php?novelid=4177857
月下蝶影,我就是这般女子,原创-言情-架空历史-爱情,轻松,完结,685380,7053454336,2016-11-04 15:45:32,http://www.jjwxc.net/onebook.php?novelid=2973352
长洱,天才基本法,原创-言情-近代现代-爱情,正剧,完结,760909,4844944896,2017-05-18 15:46:28,http://www.jjwxc.net/onebook.php?novelid=3193259
