偷偷藏不住,竹已,http://www.jjwxc.net/onebook.php?novelid=3676002,原创-言情-近代现代-爱情,女主,轻松,南芜双狗,完结,372127字,"['※实体书已出版上市，各平台均有售=v=', '十三岁那年，桑稚偷偷喜欢上一个男人。', '男人的模样冷淡慵懒，说起话来吊儿郎当的，经常来她家，一个下午窝在她哥哥房间里打游戏。', '偶尔见她进来送水果零食，也只是漫不经心地掀起眼皮，笑得像个妖孽：“小孩，你怎么回事啊？一见到哥哥就脸红。”', '*妖孽腹黑x乖张少女', '微博@小竹已']",情有独钟 励志人生 甜文,主角：桑稚，段嘉许 ┃ 配角： ┃ 其它：,少女暗恋成真
白日梦我,栖见,http://www.jjwxc.net/onebook.php?novelid=3525826,原创-言情-近代现代-爱情,女主,正剧,完结了好开心之 神射手,完结,427269字,"['【下本《桃枝气泡》】', '【实体书已出版，淘宝天猫当当等平台均有销售ww微博@栖见吗】', '奖学金争夺战进行的如火如荼，学校教导主任办公室门口，林语惊和沈倦狭路相逢。', '林语惊表情凄怆，眼中含泪：“沈同学，实话跟你说了吧，我是乡下来的，家里很穷，原名叫林翠花，我们莲花村就出了我一个能到大城市读书的，这次我如果拿不到奖学金就没钱交学费，没钱交学费就只能回村里喂猪……”', '沈倦神情松懒，漫不经心：“好巧，我是隔壁荷叶村的，本名沈铁柱，我不仅要喂猪，还得种地。”', '林语惊：“……”', '两人面无表情对视了三秒，然后动作整齐划一，各自转身离开。', '沈倦钻进私人直升飞机，林语惊上了加长版劳斯莱斯幻影。', '——两个有钱人每天在对方面前，互相真实地，努力地穷着，的故事。', '-中二沙雕校园文', '标题是wuli竹暄暄写哒', '“语是语不惊人死不休的语，惊是惊天地泣鬼神那个惊。”']",励志人生,主角：沈倦，林语惊 ┃ 配角： ┃ 其它：,倦爷今天也真实又努力地穷着
她的小梨涡,唧唧的猫,http://www.jjwxc.net/onebook.php?novelid=3070243,原创-言情-近代现代-爱情,女主,轻松,临市一中,完结,257143字,"['本书已出实体书，五月上市，可去淘宝、天猫、京东直接搜索【她的小梨窝】，预售买有福利，实体书比网络版多了番外~', '初见你时', '真的不知道你这么楚楚动人', '让人垂涎欲滴', 'by大魔王', '脾气很差的问题少年，有一天，遇到了一个从南方来，胆子超小的转学生......', '同学们最近都在疯传，班上的大帅逼谢辞，好像盯上那个转学生了。', '某一天，许呦上早自习时，在课桌上发现了一张纸条：', '小可爱。', '我们北方人脾气都很躁哦。：）', 'Tips：此文校园杀、回忆杀～～', '微博：@唧唧的猫']",都市情缘,主角：许呦 ┃ 配角：谢辞 ┃ 其它：,大魔王x小可爱
满级绿茶穿成小可怜,春刀寒,http://www.jjwxc.net/onebook.php?novelid=4403740,原创-言情-架空历史-爱情,女主,轻松,写完啦,完结,425527字,"['林非鹿外号绿茶公主', '心机茶中的战斗茶，民间奥斯卡影后', '卖得了萌，掐得了架，装得了无辜，演得了白莲', '反正不是个好人', '后来她为自己的行为付出了代价——死在二十七岁生日那天', '死的时候，林非鹿反思自己这二十多年的绿茶生涯，深深感到自责和后悔', '她发誓，如果有来世，她一定当个好人', '结果穿成了大林朝的五岁小公主', '母妃不受宠病恹恹，哥哥是个痴傻智障', '吃不饱穿不暖，还随时有生命危险', '生存环境非常恶劣', '想要当一个好人的林非鹿：……是你们逼我的', '对不起，只能开大了', '宫斗？争宠？上位？', '不好意思，让你们见识一下什么叫满级玩家屠新手村', '-----------------------', '孱弱的宋国送了一个小皇子来大林朝当质子', '小皇子生得漂亮俊俏，人畜无害，在大林朝过得水深火热', '重度颜控林非鹿常常施以援手帮助这个小可怜', '后来小可怜长成了大魔王', '回国弑父夺位，率十万铁骑陈兵淮河岸', '他穿一身玄甲，猩红披风猎猎作响，笑着说：回去告诉你们陛下，孤只要永安公主', '永安公主林非鹿：？？？', '想我堂堂一世绿茶，最后竟然折在了白切黑手上', '林非鹿：你演我', '宋惊澜：承让，孤与皇后互演罢了', '【前期主女主事业，感情戏靠后，不喜勿入】', '【背景架空，私设杜撰，爽文，非正经宫斗】', '【男女主都非善茬，文中人物三观不代表作者】', '【微博：@春刀寒】', '---------------', '预收文《负相思》，欢迎收藏', '相思从小孤苦无依，没有修仙的灵根', '好不容易在妖魔横行的修仙世界顽强长大，眼看就要过上好日子了', '灵魂突然被拘到了另一具身体内', '体内残魂看着精神不大正常，疯疯癫癫地大喊：“我已在夙北斗体内种下情蛊！只要他爱上你，情蛊就会发作！届时你二人性命相绑，你死他死，你亡他亡！情蛊一旦发作，他必受碎骨断筋之痛！你要让他爱上你，将他折磨致死，最后自杀取他性命！”', '相思：？？？什么仇什么怨', '残魂喊完就嗝屁了，相思成了这具身体的新主人', '傅相思，归元宗掌门之女，修仙界的天之骄女', '而人人都知道，归元宗一年前就被魔界的新魔君屠了满门，傅相思更是沦为阶下囚，备受折磨', '听说那魔头疯起来连自己都砍，食人饮血，凶残暴戾', '修仙界人人自危，谈之色变', '相思：所以一觉睡醒，我多了个大魔头仇人？我被囚禁了？我还给他下毒了？', '报仇是不可能报仇的，修真界的爱恨情仇跟她一个废物凡人有什么关系！', '相思只想远离疯批，认真苟活', '如果有一天能感化魔头，放她回到人界的小茅屋，那就更好了！', '而大魔头看着在自己埋尸的殿院上种菜的女人陷入了沉思', '【相思没想过夙北斗会爱上自己', '所以她也没想到，在她用忘忧让他忘记自己后，夙北斗会变成一个彻底失去理智的疯子', '疯到覆灭人界，疯到杀了她】', '疯批大魔头X社交牛逼症小太阳', '前期甜，中期虐，后期糖中带刀，HE']",穿越时空 青梅竹马 宫斗 爽文,主角：林非鹿 ┃ 配角：宋惊澜 ┃ 其它：春刀寒,满级玩家屠新手村
有匪,priest,http://www.jjwxc.net/onebook.php?novelid=2595385,原创-言情-架空历史-武侠,女主,正剧,全年龄&言情之 大雪,完结,698356字,"['“终有一天，你会跨过静谧无声的洗墨江，离开群山环抱的旧桃源，来到无边阴霾的夜空之下。你会目睹无数不可攀爬之山相继倾覆，不可逾越之海干涸成田，你要记得，你的命运悬在刀尖上，而刀尖须得永远向前。”', '“愿你在冷铁卷刃前，得以窥见天光。”', '给亲爱的太后的生日贺文！太后万寿无疆~~~', '感谢olivia银字_和ink森林君两个姑娘的封=w=', '更新频率：更新时间为每天中午十一点，会尽量日更，但由于没有存稿，不一定保证，断更会打招呼，谢谢诸位', '本文正在参加晋江的元宵赛事会，详细地址见右', 'http://www.jjwxc.net/sp/newyear2016/yxjssh/', '欢迎大家参与', '第二十八章开始VIP，当日三更，长评送分，请转载的诸位尽快撤文了，感谢支持正版~']",江湖恩怨 三教九流 天之骄子,主角：周翡，谢允 ┃ 配角： ┃ 其它：,乱世江湖
他最野了,曲小蛐,http://www.jjwxc.net/onebook.php?novelid=3597941,原创-言情-近代现代-爱情,女主,正剧,旧时光之 大魔王,完结,485236字,"['三中转校来了个哑巴似的小怪胎，永远穿着大一号的连帽卫衣和牛仔裤，一张小脸藏得严严实实。', '大家都以为她丑得吓人，哪想一朝露了脸，却惊为天人地漂亮。', '很快小美人全校闻名，正值青春期的男生们忍不住议论：', '“嚯，那就是新来的苏邈邈吧？”', '“跟个瓷娃娃似的，皮肤白得像雪！”', '男生们聊得热火朝天，不知道谁注意到了墙角懒散站着的少年。', '“彦哥，你见那小美人没？”', '有人发笑，“彦哥哪能注意那种小怪胎？”', '商彦没说话，漫不经心地瞥一眼，轻嗤了声。', '几个月后。', '当着全班学生的面，商彦把惊住的小姑娘挡在了课桌前。', '他低下头，勾起个痞气的笑——', '“你求我一句，我放你出去。”', '“……”', '“两句，我今后归你。”', '【IT大魔王x先心病小“怪胎”】', '“我有千般不驯，只为你妥协。”', '【注】', '1.彦哥学习超棒（除了语文）', '2.邈邈先天性心脏病，后期会做手术', '3.但这是超甜的文，不甜你们打我', '4.前期涉及计算机比赛，后期涉及数据分析团队创立，无原型', '*', '作者专栏欢迎收藏~', '追完连载的宝贝们可以康康蛐的其他完结文：', '[娱乐圈]《吻痣》（鬼才歌手&演技派小女星）', '[AI]《别哭》（温柔恬静小盲女 x 傲娇AI科技大神）', '[校园]《他那么撩》（学渣校草&小才女）', '[风投]《咬痕》（疯子&洋娃娃）', '[重生校园]《总有偏执狂想独占我》（偏执狂&小女神）']",天之骄子 业界精英 甜文 校园,主角：商彦&苏邈邈 ┃ 配角：商娴&薄屹，吴泓博，栾文泽，文素素，舒薇，厉哲等 ┃ 其它：,IT大魔王x先心病小“怪胎”
砸锅卖铁去上学,红刺北,http://www.jjwxc.net/onebook.php?novelid=4737103,原创-言情-幻想未来-爱情,女主,轻松,未来,完结,1134757字,"['【正版阅读在晋江文学城～】', '昔日顶级工程师卫三穿成星际失学儿童，靠着捡垃圾变废为宝，终于赶在开学季攒了一笔钱，立刻要去报名上学。', '她打算将来成为一个机甲师，据说特别赚钱，还和自己本行息息相关，计划通√', '万万没想到因为贪学费便宜，卫三报错了专业，成了一名机甲单兵——那种成天刀口舔血的暴力狂', '卫·文静·贫穷·工程师：“……”', '但环境不能使她屈服，卫三决定以后趁空闲时间自学成才。', '某大赛训练期，有媒体依次采访拍摄各校单兵，全星网直播，观众可以看见所有人都在拼命训练，重力加压、贴身肉搏、远战纠缠等等。', '【YY近战太强了吧，那把光刀一出，谁敢近身！】', '【ww那手鞭子甩得绝了，牛逼！！！】', '随后录到卫三，她盘腿坐在训练大厅，正低头聚精会神捧着一本书看。', '【那个卫三在看什么？】', '镜头拉近，卫三手中书的封面顿时被全星网看得一清二楚：《青飞教您二十一天成为机甲师》', '观众：……', '这书名一听就不是正经人看的。', '第二天星网头条：某军校生训练期间不堪重负，精神失常，试图转行。', '我的预收文：《将错就错》欢迎收藏', '文案： 半年前程琉交了一个男朋友，可惜她工作太忙，需要到处跑，除了能给钱，根本没时间陪男友，导致男友在电话内抱怨他们感情淡了。', '程琉：好像感情没那么浓吧？', '不过为了培养这段感情（维持非单身狗身份），程琉还是决定提前回来，并在微信中暗示自己什么时候回来，自认为对方能明白。', '到飞机落地那天，程琉在出口扫了一圈，果然在人群中见到长身玉立的大帅哥。', '没错了，一定是她男朋友。就是这么长时间没见，感觉更好看了，站在人群中整个人好看的能发光。', '程琉上前，接过他手中的铃兰花：“回去了。”', '……', '半个月后，程琉带着男朋友去买订婚戒指，路上撞见一对亲亲热热的男女，对方见到她一慌，瞬间松开女方的手，随后质问她：原来大半年不出现，是劈了腿。', '当事人程琉：“？？？”', '我的微博：天天赤脚']",女强 机甲 未来架空 爽文,主角：卫三、应星决（男主） ┃ 配角： ┃ 其它：,生活不易，多才多艺
暗格里的秘密,耳东兔子,http://www.jjwxc.net/onebook.php?novelid=2697774,原创-言情-近代现代-爱情,女主,正剧,青梅竹马之 暗恋,完结,329191字,"['1、年少时的爱，像风，看不见，却感受的到；', '就像刻在桌板上的名字，怕你看见，又怕你看不见。', '——节选自《小怪兽日记》', '我们半世相逢，依旧少年如风。', '6月25日晚八点开更。', '7月13日入v', '考究党慎入！！！', '一篇很平淡的小甜文，嗯。', '“彼方尚有荣光在。”', '——这句话是出自一部日本的漫画《Fate/Zero》']",都市情缘 校园,主角：丁羡、周斯越 ┃ 配角：蒋沉、杨纯子、孔莎迪、宋子琪、苏柏从 ┃ 其它：校园文,"拽痞注孤生VS伪善少女
 当当 京东"
等风热吻你,唧唧的猫,http://www.jjwxc.net/onebook.php?novelid=3173198,原创-言情-近代现代-爱情,女主,轻松,临市一中,完结,181853字,"['下一本写《温柔有九分》', '-见过你的眼睛，我再也没看过星光。', '-尝过你的味道，我没打算活着回来。', '第一次尝到刀尖上舔蜜的滋味。', '是从初中那年，许星纯喜欢上她的那天起。', '外冷内骚x没心没肺', '破镜重圆']",都市情缘,主角：付雪梨 ┃ 配角：许星纯 ┃ 其它：,他比世界更荒谬
错撩,翘摇,http://www.jjwxc.net/onebook.php?novelid=4399698,原创-言情-近代现代-爱情,女主,轻松,已完结,完结,308961字,"['【本文实体书已上市，新增万字番外，各大电商平台可购。】', '【下本开《她来听我的演唱会》，点进专栏可收藏~】', '郑书意前男友劈腿，第三者的小舅舅开劳斯莱斯幻影，连车牌号都是嚣张的连号。', '分手几天后，郑书意意外看见了那辆连号的劳斯莱斯幻影。', '想到渣男和白莲花双宿双飞，她就意难平。', '想少奋斗二十年？做梦。', '还想跟我做亲人？可以，那我就来做你们的小舅妈。让你在谄媚的时候也要对我恭恭敬敬。', '那一刻，郑书意不知道哪里来的自信，笑意盈盈地敲了敲劳斯莱斯幻影的后座车窗。', '车窗缓缓摇下，年轻男人望了过来，眼镜后的双眼深邃迷人。', '郑书意内心震了一下：这白莲花长得不怎么样，小舅舅居然这么帅？', '几个月后，郑书意挽着男人的手，亲昵地坐进劳斯莱斯后座，看见不远处的白莲花和渣男，朝他们勾勾手指，表情嚣张跋扈。', '“见到长辈不过来打个招呼吗？”', '白莲花面如土色，慢慢挪过来，朝着前排司机喊了一声“小舅舅”', '郑书意：“……？”', '#我费尽心思结果撩错人了？#', '#旁边这位先生不好意思我们现在不认识了你先放开我啊！#', '*嗲精VS霸总', '*狗血酸爽，不求逻辑。']",励志人生,主角：郑书意，时宴 ┃ 配角：秦时月 ┃ 其它：,男主每天分享一个单身小技巧
